rcode	    名称	现价	总市值	流通市值	所属行业
603129	N春风	19.63	2617334600	654334640	非汽车交运
603557	N起步	11.13	5230873600	523110000	服装家纺
600125	铁龙物流	12.5	16319023000	16319023000	公路铁路运输
603721	中广天择	16.36	1636000000	409000000	传媒
300369	绿盟科技	11.2	8921940800	5689599100	计算机应用
300691	联合光电	37.02	3167061000	792228000	光学光电子
600626	申达股份	10.11	7180554900	7180554900	纺织制造
603776	永安行	42.53	4082880000	1020720000	计算机应用
600727	鲁北化工	11.21	3934559900	3933887300	化学制品
300685	艾德生物	62.68	5014400000	1253600000	生物制品
603603	博天环境	45.86	18344459000	1834858600	环保工程
002888	惠威科技	28.93	2404592200	601165400	视听器材
600641	万业企业	12.32	9931875800	9931875800	房地产开发
300689	澄天伟业	40.38	2745840000	686460000	其他电子
603602	纵横通信	38.74	3099200000	774800000	通信设备
002846	英联股份	30.27	3632400000	908100000	包装印刷
600876	洛阳玻璃	22.02	11599406600	5764106600	建筑材料
002889	东方嘉盛	32.92	4546299000	1136727600	物流
300688	创业黑马	27.42	1864560000	466140000	传媒
000927	一汽夏利	5.51	8789408900	8789392000	汽车整车
600295	鄂尔多斯	17.31	17863920000	10593720000	石油矿业开采
601326	秦港股份	4.08	22796641000	2276640000	港口航运
601611	中国核建	13.35	35043750000	12840030000	建筑装饰
600289	亿阳信通	12.03	7591556400	6808049900	通信设备
000661	长春高新	138.2	23509515000	23495271000	生物制品
600995	文山电力	12.1	5790169400	5790169400	电力
300678	中科信息	43.2	4320000000	1080000000	计算机应用
603707	健友股份	19.11	8093085000	1213485000	生物制品
600260	凯乐科技	30.14	21364694000	16256586000	通信设备
600640	号百控股	21.67	17242731000	11601349700	景点及旅游
002386	天原集团	11.9	7992989700	7992071800	基础化学
002843	泰嘉股份	23.85	3339000000	834750000	通用设备
600963	岳阳林纸	9.01	12593575700	9398863900	造纸
000930	中粮生化	12.5	12055138900	12055138900	农产品加工
002112	三变科技	17.06	3439296000	3116050200	电气设备
000990	诚志股份	21.6	27065057000	6415812200	化学制药
600698	湖南天雁	11.64	11311955000	5019560700	汽车零部件
600803	新奥股份	15.2	14983933000	14983933000	化学制品
600548	深高速	9.8	21371549000	14046049000	公路铁路运输
300078	思创医惠	15.84	12796903700	7824263800	其他电子
002336	人人乐	13.4	5360000000	4545950000	零售
600072	中船科技	19.63	14452585000	6084680700	国防军工
300295	三六五网	22.25	4273335000	3923537400	通信服务
