,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
1,泰山石油,000554.SZ,554,4952171200,3735292000,基础化学,2.6,2.9,5.5,6,6.4,23.4,73,2018/4/9
2,北化股份,002246.SZ,2246,7305704200,7305704200,化工新材料,4.5,1.9,4.2,5.7,4.4,20.7,73,2018/4/9
3,中 关 村,000931.SZ,931,6032547100,5350749000,化学制药,2.1,2.9,5.5,8.1,4.7,23.3,73,2018/4/9
4,绿盟科技,300369.SZ,300369,8921940800,5689599100,计算机应用,5,5.4,4.9,4.5,5.7,25.5,73,2018/4/9
5,联合光电,300691.SZ,300691,3167061000,792228000,光学光电子,4.2,3.4,6.6,3.2,5.4,22.8,73,2018/4/9
6,科力尔,002892.SZ,2892,2325752000,489632000,电气设备,6,5.5,3.7,3,4.9,23.1,73,2018/4/9
7,艾德生物,300685.SZ,300685,5014400000,1253600000,生物制品,8.1,3.5,8.3,4.5,6.3,30.7,73,2018/4/9
8,惠威科技,002888.SZ,2888,2404592200,601165400,视听器材,8.6,3.6,5.5,4.3,6.3,28.3,73,2018/4/9
9,澄天伟业,300689.SZ,300689,2745840000,686460000,其他电子,8.3,5.6,6.6,4.3,6.2,31,73,2018/4/9
10,英联股份,002846.SZ,2846,3632400000,908100000,包装印刷,6.8,2.9,4.5,2.6,6,22.8,73,2018/4/9
11,东方嘉盛,002889.SZ,2889,4546299000,1136727600,物流,9,5.5,5,3.9,5,28.4,73,2018/4/9
12,创业黑马,300688.SZ,300688,1864560000,466140000,传媒,5.4,2.1,6.2,2.5,5.9,22.1,73,2018/4/9
13,一汽夏利,000927.SZ,927,8789408900,8789392000,汽车整车,6.6,4.1,5.5,5.4,4.5,26.1,73,2018/4/9
14,长春高新,000661.SZ,661,23509515000,23495271000,生物制品,6,3.9,6.6,8,6.7,31.2,73,2018/4/9
15,中科信息,300678.SZ,300678,4320000000,1080000000,计算机应用,4.6,3.1,7.7,4.5,5,24.9,73,2018/4/9
16,天原集团,002386.SZ,2386,7992989700,7992071800,基础化学,7,3.9,8.2,6,5.9,31,73,2018/4/9
17,泰嘉股份,002843.SZ,2843,3339000000,834750000,通用设备,7.4,4.3,5.5,3.4,6.5,27.1,73,2018/4/9
18,中粮生化,000930.SZ,930,12055138900,12055138900,农产品加工,5.8,4.5,6.3,8,6.6,31.2,73,2018/4/9
19,三变科技,002112.SZ,2112,3439296000,3116050200,电气设备,3.8,1.9,6.7,6.5,4.5,23.4,73,2018/4/9
20,诚志股份,000990.SZ,990,27065057000,6415812200,化学制药,2.1,4.7,7,7.2,5.8,26.8,73,2018/4/9
21,思创医惠,300078.SZ,300078,12796903700,7824263800,其他电子,7.4,4.8,4.4,6.8,5,28.4,73,2018/4/9
22,人人乐,002336.SZ,2336,5360000000,4545950000,零售,3.2,3.3,8.3,5.7,5.3,25.8,73,2018/4/9
23,三六五网,300295.SZ,300295,4273335000,3923537400,通信服务,3.4,3.3,4.8,6,5.3,22.8,73,2018/4/9
24,华东重机,002685.SZ,2685,7501138300,6092800000,专用设备,2.1,3.2,6.6,7,6.1,25,73,2018/4/9
